location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
P.S. 199 Jessie Isador Straus,M199,P.S. 199 - MANHATTAN,M199,270 WEST  70 STREET MANHATTAN 10023,Yes,"Yes, in 2002",Yes,2005,0,42,
P.S. 200- The James Mccune Smith School,M200,P.S. 200 (TANDEM M010) - MANHATTAN,M200,2589 7 AVENUE MANHATTAN 10039,Yes,No,No,,,,
Sisulu-Walker Charter School of Harlem,M702,SISULU/HARLEM CHARTER BUILDING,M202,125 WEST 115 STREET MANHATTAN 10026,,,,,,,Charter managed facility. More information to come.
River East Elementary,M037,P.S. 206 (TANDEM M112) - MANHATTAN,M206,508 EAST 120 STREET MANHATTAN 10035,Yes,"Yes, in 2002",Yes,2005,0,25,
P.S. 206 Jose Celso Barbosa,M206,P.S. 206 (TANDEM M112) - MANHATTAN,M206,508 EAST 120 STREET MANHATTAN 10035,Yes,"Yes, in 2002",Yes,2005,0,25,
P.S. 149 Sojourner Truth,M149,P.S. 207 (TANDEM M149),M207,41 WEST 117 STREET MANHATTAN 10026,Yes,"Yes, in 2002",Yes,2005,0,63,
P.S. 208 Alain L. Locke,M208,P.S. 208 (TANDEM M185) - MANHATTAN,M208,21 WEST 111 STREET MANHATTAN 10026,Yes,No,No,,,,
P.S. M226,M226,P.S. 208 (TANDEM M185) - MANHATTAN,M208,21 WEST 111 STREET MANHATTAN 10026,Yes,No,No,,,,
Harlem Link Charter School,M329,P.S. 208 (TANDEM M185) - MANHATTAN,M208,21 WEST 111 STREET MANHATTAN 10026,Yes,No,No,,,,
Success Academy Charter School - Harlem 3,M385,P.S. 208 (TANDEM M185) - MANHATTAN,M208,21 WEST 111 STREET MANHATTAN 10026,Yes,No,No,,,,
City College Academy of the Arts,M293,I.S. 218 - MANHATTAN,M218,4600 BROADWAY MANHATTAN 10040,Yes,No,No,,,,
I.S. 218 Salome Urena,M218,I.S. 218 - MANHATTAN,M218,4600 BROADWAY MANHATTAN 10040,Yes,No,No,,,,
Middle School 322,M322,I.S. 218 - MANHATTAN,M218,4600 BROADWAY MANHATTAN 10040,Yes,No,No,,,,
The Mott Hall School,M223,I.S. 223 (MOTT HALL) - MANHATTAN,M223,71-111 CONVENT AVE MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,7,
P.S. 234 Independence School,M234,P.S. 234 - MANHATTAN,M234,292 GREENWICH STREET MANHATTAN 10007,Yes,No,Yes,,,,
"East Side Elementary School, PS 267",M267,P.S. 59 - (MEETH) -MANHATTAN,M267,213 EAST 63RD STREET MANHATTAN 10065,Yes,No,Yes,,,,
P.S./I.S. 217 Roosevelt Island,M217,P.S./I.S. 217 - MANHATTAN,M271,645 MAIN STREET MANHATTAN 10044,Yes,No,Yes,,,,
P.S. M094,M094,P.S./I.S. 276 - MANHATTAN,M276,55 BATTERY PLACE MANHATTAN 10280,Yes,No,Yes,,,,
Battery Park City School ,M276,P.S./I.S. 276 - MANHATTAN,M276,55 BATTERY PLACE MANHATTAN 10280,Yes,No,Yes,,,,
"Urban Assembly School of Business for Young Women, the",M316,BROADWAY EDUCATION CAMPUS - M,M282,26 BROADWAY MANHATTAN 10004,Yes,Yes,Yes,2016,3,96,
Lower Manhattan Community Middle School,M896,BROADWAY EDUCATION CAMPUS - M,M282,26 BROADWAY MANHATTAN 10004,Yes,Yes,Yes,2016,3,96,
Richard R. Green High School of Teaching,M580,BROADWAY EDUCATION CAMPUS - M,M282,7 BEAVER STREET MANHATTAN 10004,Yes,Yes,Yes,2016,3,96,
Thurgood Marshall Academy Lower School,M318,P.S. 318 - MANHATTAN,M371,276 WEST 151ST STREET MANHATTAN 10039,Yes,No,Yes,,,,
Success Academy Charter School - Washington Heights - New York 1,M265,Success Academy - Washington Heights,M387,701 FORT WASHINGTON AVENUE MANHATTAN 10040,Yes,Yes,Yes,2016,1,28,
P.S. M811 - Mickey Mantle School,M811,MANHTN CT FOR MATH & SCI. HS - M,M435,260 PLEASANT AVENUE MANHATTAN 10029,Yes,No,No,,,,
